placeID,parking_lot
132630,NA
132629,yes
132628,NA
132626,yes
132625,yes
132624,yes
132623,NA
132622,yes
132621,NA
132620,public
132619,yes
132618,public
132617,yes
132616,yes
132615,NA
132614,NA
132613,yes
132612,yes
132611,yes
132610,yes
132609,yes
132608,public
132607,NA
132606,NA
132605,public
132604,NA
132603,yes
132602,public
132601,public
132600,public
132599,public
132598,yes
132597,public
132596,NA
132595,NA
132594,public
132593,public
132592,NA
132591,NA
132590,yes
132589,yes
132588,public
132587,public
132586,yes
132585,yes
132584,yes
132583,NA
132582,yes
132581,NA
132580,NA
132579,NA
132578,NA
132577,NA
132576,NA
132575,yes
132574,yes
132573,NA
132572,yes
132571,NA
132570,NA
132569,NA
132568,NA
132567,NA
132566,NA
132565,NA
132564,NA
132563,NA
132562,NA
132561,NA
132560,public
132557,public
132557,street
132545,street
132535,street
132531,public
132531,street
132530,fee
132530,public
132527,street
132521,fee
132521,public
132491,public
132491,street
132487,yes
132484,yes
132483,fee
132483,public
132482,yes
132481,fee
132481,street
132479,street
132478,NA
132478,fee
132468,NA
132449,public
132449,street
132443,street
132442,street
132439,street
132437,fee
132436,street
132409,public
132409,street
132399,fee
132399,public
132396,fee
132396,public
132392,street
132377,street
132355,fee
132355,street
132333,validated parking
132326,yes
132326,public
132302,yes
132297,public
132297,street
132296,street
132292,public
132292,street
132289,valet parking
132289,validated parking
132281,public
132281,street
132243,valet parking
132243,validated parking
132243,public
132237,yes
132231,street
132220,fee
132207,street
132206,fee
132204,public
132204,street
132184,valet parking
132184,street
132182,yes
132177,yes
132164,fee
132161,street
132160,street
132159,street
132157,yes
132155,fee
132155,public
132111,yes
132111,public
132107,public
132031,yes
132031,street
132030,street
132026,fee
132024,street
132023,fee
132023,public
132012,public
132012,street
